epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9364,1.44874,3.60199,1.28701,0.39054,0.14801,0.23732,0.15897,1.31439,3.17585,1.13212,0.000366515,0.000366515,0.000366515
2,21.1684,1.32417,2.51578,1.17648,0.38221,0.48117,0.36306,0.24053,1.16309,2.27452,1.10574,0.000700375,0.000700375,0.000700375
3,30.6771,1.27559,2.23485,1.16538,0.4445,0.47433,0.43077,0.29737,1.08455,2.075,1.05141,0.000997571,0.000997571,0.000997571
4,39.8749,1.21727,1.98142,1.13014,0.51318,0.48123,0.48509,0.3428,1.06435,1.93949,1.06024,0.000946016,0.000946016,0.000946016
5,49.1792,1.20063,1.91504,1.13527,0.44661,0.49027,0.46377,0.33266,1.04515,2.00886,1.06582,0.000891022,0.000891022,0.000891022
6,58.3474,1.18645,1.77907,1.10884,0.47305,0.58532,0.52231,0.37807,1.00471,1.8679,1.02494,0.000836027,0.000836027,0.000836027
7,67.4551,1.15467,1.7485,1.11319,0.4763,0.61341,0.54142,0.38044,1.00526,1.68551,1.0148,0.000781033,0.000781033,0.000781033
8,76.5605,1.12059,1.64136,1.08484,0.42148,0.65344,0.5234,0.37527,0.97787,1.73043,1.00945,0.000726038,0.000726038,0.000726038
9,85.7678,1.12248,1.62561,1.07737,0.4768,0.62474,0.55096,0.40365,0.97766,1.69723,1.00249,0.000671044,0.000671044,0.000671044
10,94.918,1.13169,1.59975,1.0804,0.5057,0.64648,0.56518,0.4036,0.98825,1.61825,1.0023,0.000616049,0.000616049,0.000616049
11,119.228,1.0626,1.64156,1.05987,0.5468,0.60241,0.57326,0.41167,0.96789,1.55177,0.99775,0.000561055,0.000561055,0.000561055
12,128.358,1.04744,1.53731,1.05453,0.55022,0.66979,0.62077,0.45304,0.93607,1.44321,0.99017,0.00050606,0.00050606,0.00050606
13,137.549,1.02007,1.46009,1.0314,0.52661,0.66541,0.59993,0.43522,0.94267,1.51616,0.98373,0.000451066,0.000451066,0.000451066
14,146.806,1.01987,1.42717,1.0407,0.54472,0.6686,0.61733,0.45206,0.94038,1.40561,0.98692,0.000396071,0.000396071,0.000396071
15,155.985,0.98702,1.38095,1.01527,0.56017,0.66257,0.63365,0.46644,0.90956,1.33837,0.98159,0.000341077,0.000341077,0.000341077
16,165.29,0.98059,1.32315,1.01555,0.56392,0.65826,0.62946,0.47263,0.88625,1.33407,0.97518,0.000286083,0.000286083,0.000286083
17,174.511,0.95853,1.27789,1.00243,0.5976,0.64582,0.63806,0.473,0.89579,1.32249,0.97664,0.000231088,0.000231088,0.000231088
18,183.699,0.97439,1.24183,1.00305,0.5869,0.67316,0.64163,0.4784,0.88736,1.30242,0.97005,0.000176094,0.000176094,0.000176094
19,192.879,0.94734,1.23334,1.00827,0.59446,0.6831,0.65947,0.48992,0.878,1.26445,0.96617,0.000121099,0.000121099,0.000121099
20,209.259,0.94461,1.21159,1.00008,0.59134,0.68313,0.65572,0.49203,0.87449,1.28646,0.96387,6.61045e-05,6.61045e-05,6.61045e-05
